detalle_id,pedido_id,producto_id,producto_nombre,categoria_id,cantidad,precio_unitario,importe
DET001,PED001,1,Oreo Original 117g,1,2,450,900
DET002,PED001,13,Leche Entera 1L,3,1,280,280
DET003,PED002,7,Coca Cola 500ml,2,1,350,350
DET004,PED002,24,Atún en Aceite 170g,5,1,420,420
DET005,PED003,1,Oreo Original 117g,1,1,450,450
DET006,PED003,15,Queso Cremoso 200g,3,1,520,520
DET007,PED003,19,Pan Lactal 500g,4,1,320,320
DET008,PED003,29,Papas Fritas 150g,6,1,320,320
DET009,PED004,2,Pepitos Chocolate 100g,1,1,380,380
DET010,PED004,14,Yogur Natural 125g,3,2,150,300
DET011,PED005,33,Alfajor Havanna,7,5,180,900
DET012,PED005,7,Coca Cola 500ml,2,2,350,700
DET013,PED005,15,Queso Cremoso 200g,3,1,520,520
DET014,PED005,46,Helado 1L,10,1,650,650
DET015,PED006,1,Oreo Original 117g,1,1,450,450
DET016,PED007,20,Medialunas x6,4,1,450,450
DET017,PED007,13,Leche Entera 1L,3,1,280,280
DET018,PED007,29,Papas Fritas 150g,6,1,320,320
DET019,PED008,34,Chocolate Milka 100g,7,1,450,450
DET020,PED008,29,Papas Fritas 150g,6,1,320,320
DET021,PED009,44,Hamburguesas x4,10,2,520,1040
DET022,PED009,45,Papas Congeladas 1kg,10,1,380,380
DET023,PED009,11,Fanta 500ml,2,1,340,340
DET024,PED010,19,Pan Lactal 500g,4,1,320,320